Index,Question,Correct Answer,Response,Score,GPT_Grade
1,Are the butterfly wings opened or closed in the given image? a) Opened and b) Closed,a),"In the image, the butterfly's wings are opened.",1,yes
2,Are the butterfly wings opened or closed in the given image? a) Opened and b) Closed,b),"In the given image, the butterfly wings are opened.",0,no
3,Is the flame 'thicker and shorter' or 'thinner and longer'? a) 'Thicker and Shorter' b) 'Thinner and longer',a),The flame in the image is thicker and shorter.,1,yes
4,Is the flame 'thicker and shorter' or 'thinner and longer'? a) 'Thicker and Shorter' b) 'Thinner and longer',b),The flame in the image is thicker and shorter.,0,no
5,Is the dog looking towards left or right? a) left b) right,a),The dog is looking towards the left.,1,yes
6,Is the dog looking towards left or right? a) left b) right,b),The dog is looking towards the left.,0,no
7,Is this the front view of the bus or the back view of the bus? a)front b)back,a),This is a front view of the bus.,1,yes
8,Is this the front view of the bus or the back view of the bus? a)front b)back,b),This is the back view of the school bus.,1,yes
9,Is this the front view of the keybaord or the sideview of the keyboard? a)front b)side,a),This is a front view of the keyboard.,1,yes
10,Is this the front view of the keybaord or the sideview of the keyboard? a)front b)side,b),This is a front view of the keyboard.,0,no
11,Is the peacock's neck bent or straight? a)straight b)bent,a),The peacock's neck is bent.,0,no
12,Is the peacock's neck bent or straight? a)straight b)bent,b),The peacock's neck is bent in the image.,1,yes
13,Is it a zoomed in view of the corn or a zoomed out view? a) zoomed in b)zoomed out,a),"The image is a zoomed in view of corn, showcasing the details of the corn kernels and their stems.",1,yes
14,Is it a zoomed in view of the corn or a zoomed out view? a) zoomed in b)zoomed out,b),"It is a zoomed in view of corn, as the image shows a close-up of the corn on the cob.",0,no
15,Is the center of the flower in shade or in sunlight? a)shade b)sunlight,a),The center of the flower is in shade.,1,yes
16,Is the center of the flower in shade or in sunlight? a)shade b)sunlight,b),The center of the flower is in shade.,0,no
17,Is the bus facing towards left or right? a)left b)right,a),The bus is facing towards the left.,1,yes
18,Is the bus facing towards left or right? a)left b)right,b),The bus is facing towards the left.,0,no
19,Is the shark facing towards left or right? a)left b)right,a),The shark is facing towards the left.,1,yes
20,Is the shark facing towards left or right? a)left b)right,b),The shark is facing towards the right.,1,yes
21,Are the duck's feet visible or not? a)yes b)no,b),The duck's feet are not visible in the image.,1,yes
22,Are the duck's feet visible or not? a)yes b)no,a),"Yes, the duck's feet are visible in the image.",1,yes
23,Is the snake looking towards the camera or sideways? a)towards the camera b)sideways,a),The snake is looking towards the camera.,1,yes
24,Is the snake looking towards the camera or sideways? a)towards the camera b)sideways,b),The snake is looking towards the camera.,0,no
25,Is the hen's neck white or reddish? a)white b)reddish,a),The hen's neck is reddish.,0,no
26,Is the hen's neck white or reddish? a)white b)reddish,b),"The hen's neck is reddish, not white.",1,yes
27,Is the face of the peacock visible? a) Yes b) No,a),"Yes, the face of the peacock is visible in the image.",1,yes
28,Is the face of the peacock visible? a) Yes b) No,b),"No, the face of the peacock is not visible in the image. The image shows the back of the peacock, focusing on",1,yes
29,Is there a stop sign on the bus? a)yes b) No,a),"Yes, there is a stop sign on the bus.",1,yes
30,Is there a stop sign on the bus? a)yes b) No,b),B) No,1,yes
31,Is the flag upright or tilted? a) Upright b)tilted,a),The flag is tilted.,0,no
32,Is the flag upright or tilted? a) Upright b)tilted,b),The flag is tilted.,1,yes
33,Is this the top view of the butterfly or the side view? a) top b) Side,a),This is a top view of the butterfly.,1,yes
34,Is this the top view of the butterfly or the side view? a) top b) Side,b),This is a top view of the butterfly.,0,no
35,Are the cucumbers dark green or light green? a)Dark green b)Light green,a),The cucumbers in the image are dark green.,1,yes
36,Are the cucumbers dark green or light green? a)Dark green b)Light green,b),The cucumbers in the image are dark green.,0,no
37,Are the white flowers behind the butterfly visible or no? a)yes b)no,b),A) Yes,0,no
38,Are the white flowers behind the butterfly visible or no? a)yes b)no,a),A) Yes,1,yes
39,Is the duck in the pond or on dryland? a) pond b) dryland,a),The duck is in the pond.,1,yes
40,Is the duck in the pond or on dryland? a) pond b) dryland,b),"The duck is on dryland, standing on a rock in the water.",1,yes
41,Are the spider's legs orange? a)yes b)no,b),The spider's legs are not orange. The spider has a combination of yellow and brown colors.,1,yes
42,Are the spider's legs orange? a)yes b)no,a),The spider's legs are orange.,1,yes
43,How many buses are there in the image? a) one b) many,b),"There are many buses in the image, parked in a row.",1,yes
44,How many buses are there in the image? a) one b) many,a),There is only one bus in the image.,1,yes
45,Is this the bottom or top view of the shark? a) Bottom b) Top,a),This is a bottom view of the shark.,1,yes
46,Is this the bottom or top view of the shark? a) Bottom b) Top,b),This is a bottom view of the shark.,0,no
47,How many circular patterns are there on the wings of the butterfly? a)5 b)6,a),There are six circular patterns on the wings of the butterfly.,0,no
48,How many circular patterns are there on the wings of the butterfly? a)5 b)6,b),There are six circular patterns on the wings of the butterfly.,1,yes
49,Is this the side view of the keyboard or the front view? a)side b)front,a),This is a side view of the keyboard.,1,yes
50,Is this the side view of the keyboard or the front view? a)side b)front,b),This is a side view of the keyboard.,0,no
51,Is the elephant facing towards right or left? a)right b)Left,a),The elephant is facing towards the left.,0,no
52,Is the elephant facing towards right or left? a)right b)Left,b),The elephant is facing towards the left.,1,yes
53,Are there colored medicine tablets in the picture or just white? a)multi-colored b)just white,b),There are only white medicine tablets in the picture.,1,yes
54,Are there colored medicine tablets in the picture or just white? a)multi-colored b)just white,a),There are both colored and white medicine tablets in the picture.,1,yes
55,Are the bannanas covering the whole image frame? a) yes b) no,b),B) No,1,yes
56,Are the bannanas covering the whole image frame? a) yes b) no,a),B) No,0,no
57,Is the allegator in water or on land? a)water b)land,a),"The alligator is in the water, as it is seen swimming in the water and looking at the camera.",1,yes
58,Is the allegator in water or on land? a)water b)land,b),"The alligator is in the water, specifically in a pond.",0,no
59,Are there any chains on the lock? a)yes b)no,b),"Yes, there are chains on the lock.",0,no
60,Are there any chains on the lock? a)yes b)no,a),"Yes, there are chains on the lock.",1,yes
61,Is the letter 'J' visible on the keyboard? a)yes b)no,a),"Yes, the letter 'J' is visible on the keyboard.",1,yes
62,Is the letter 'J' visible on the keyboard? a)yes b)no,b),"Yes, the letter 'J' is visible on the keyboard.",0,no
63,Is the background behind flowers mostly green? a)yes b)no,b),B) No,1,yes
64,Is the background behind flowers mostly green? a)yes b)no,a),A) Yes,1,yes
65,Are the keys black or white? a)black b)white,b),The keys in the image are white.,1,yes
66,Are the keys black or white? a)black b)white,a),The keys on the keyboard are black.,0,no
67,Are there any clouds in the sky? a)yes b)no,a),"Yes, there are clouds in the sky.",1,yes
68,Are there any clouds in the sky? a)yes b)no,b),"No, there are no clouds in the sky.",1,yes
69,Is the snake facing towards left or right? a) right b) left,b),The snake is facing towards the left.,1,yes
70,Is the snake facing towards left or right? a) right b) left,a),The snake is facing towards the left.,0,no
71,Is the lock closed or open? a) closed b)open,a),The lock is open in the image.,0,no
72,Is the lock closed or open? a) closed b)open,b),"The lock is closed, as it is locked and secured to the blue surface.",0,no
73,Is this a top view of the cycle? a) yes b)no,a),"Yes, this is a top view of the cycle.",1,yes
74,Is this a top view of the cycle? a) yes b)no,b),"Yes, this is a top view of the cycle.",0,no
75,Is the flower bud open or closed? a)open b)close,a),The flower bud in the image is open.,1,yes
76,Is the flower bud open or closed? a)open b)close,b),The flower bud in the image is closed.,1,yes
77,Is the water light blue or dark blue? a) light blue b) darkblue,b),The water in the image is light blue.,0,no
78,Is the water light blue or dark blue? a) light blue b) darkblue,a),The water in the image is dark blue.,0,no
79,Is the snake's head lying on its body? a) yes b) no,a),"The snake's head is lying on its body, as it is curled up and resting on itself.",1,yes
80,Is the snake's head lying on its body? a) yes b) no,b),"The snake's head is lying on its body, which is a common behavior for snakes when they are resting or conserving energy.",0,no
81,Are there single or mutiple fishes? a) single b)multiple,a),There is a single fish in the image.,1,yes
82,Are there single or mutiple fishes? a) single b)multiple,b),"There are multiple fishes in the image, including a shark and other fish swimming in the ocean.",1,yes
83,Is the truck facing left or right? a) yes b)no,b),The truck is facing right.,0,no
84,Is the truck facing left or right? a) yes b)no,a),The truck is facing right.,0,no
85,Are the dog ears erected or drooping down? a)erected b)drooping down,a),"The dog's ears are erected, which indicates that the dog is alert and attentive to its surroundings.",1,yes
86,Are the dog ears erected or drooping down? a)erected b)drooping down,b),The dog's ears are erected in the image.,0,no
87,Is a wire visible in the image? a)yes b)no,a),"Yes, a wire is visible in the image, running from the keyboard to the computer.",1,yes
88,Is a wire visible in the image? a)yes b)no,b),B) No,1,yes
89,Are there trees present in front of the mosque? a)yes b)no,b),B) No,1,yes
90,Are there trees present in front of the mosque? a)yes b)no,a),"Yes, there are trees present in front of the mosque.",1,yes
91,What is the text written on the side of the van? a)POLIZEI b)POLICE,a),"The text written on the side of the van is ""POLIZEI.""",1,yes
92,What is the text written on the side of the van? a)POLIZEI b)POLICE,a),"The text written on the side of the van is ""POLIZEI.""",1,yes
93,Is the computer screen visible? a)yes b) no,b),B) No,1,yes
94,Is the computer screen visible? a)yes b) no,a),B) No,0,no
95,Is this top view of the web or side view? a)toop b)side,a),This is a top view of the web.,1,yes
96,Is this top view of the web or side view? a)toop b)side,b),This is a top view of the web.,0,no
97,Is the keyboard inclined from the surface? a)yes b)no,b),"The keyboard is inclined from the surface, which is a common feature of laptop keyboards to provide a comfortable typing angle for the user.",0,no
98,Is the keyboard inclined from the surface? a)yes b)no,a),"The keyboard is inclined from the surface, as it is tilted upward.",1,yes
99,Are there any clouds in the sky? a)yes b)no,a),"Yes, there are clouds in the sky.",1,yes
100,Are there any clouds in the sky? a)yes b)no,b),B) No,1,yes
101,Is the girl with the ball raising both her hands above the head? a)yes b)no,b),B) No,1,yes
102,Is the girl with the ball raising both her hands above the head? a)yes b)no,a),B) No,0,no
103,Is the syring facing upwards or downwards? a)upwards b)downwards,a),The syring is facing downwards.,0,no
104,Is the syring facing upwards or downwards? a)upwards b)downwards,b),The syringe is facing downwards.,1,yes
105,How many apples are there in the image? a) single b) multiple,b),There is a single green apple in the image.,0,no
106,How many apples are there in the image? a) single b) multiple,a),There is a single green apple in the image.,1,yes
107,Does the butterfly has antennas? a) yes b)no,a),"Yes, the butterfly in the image has antennas.",1,yes
108,Does the butterfly has antennas? a) yes b)no,b),"Yes, the butterfly in the image has antennas.",0,no
109,Are the bird's wings facing upwards or downwards? a) upwards b) downwards,a),The bird's wings are facing upwards.,1,yes
110,Are the bird's wings facing upwards or downwards? a) upwards b) downwards,b),The bird's wings are facing upwards.,0,no
111,Is the grass green or yellow? a)green b)yellow,b),The grass in the image is yellow.,1,yes
112,Is the grass green or yellow? a)green b)yellow,a),The grass in the image is green.,1,yes
113,Is there a window present in the image? a) yes b)no,a),"Yes, there is a window present in the image.",1,yes
114,Is there a window present in the image? a) yes b)no,b),"No, there is no window present in the image. The image features a red mailbox on a brick wall.",1,yes
115,Is the snail head on the road or on the mud? a)road b)mud,b),"The snail is on the mud, not on the road.",1,yes
116,Is the snail head on the road or on the mud? a)road b)mud,a),"The snail is on the road, not on the mud.",1,yes
117,Are the complete ears of the cat visible? a)yes b)no,a),"Yes, the cat's complete ears are visible in the image.",1,yes
118,Are the complete ears of the cat visible? a)yes b)no,b),"Yes, the cat's complete ears are visible in the image.",0,no
119,Is this the front view of the eagle or the side view? a)front b)side,b),This is a front view of the eagle.,0,no
120,Is this the front view of the eagle or the side view? a)front b)side,a),This is a front view of the eagle.,1,yes
121,Is the corn wrapped around in its leaves? a)yes b)no,a),"Yes, the corn is wrapped around in its leaves.",1,yes
122,Is the corn wrapped around in its leaves? a)yes b)no,b),B) No,1,yes
123,Is the duck in water? a)yes b)no,b),The duck is not in water; it is sitting on a patch of grass near a body of water.,1,yes
124,Is the duck in water? a)yes b)no,a),A) Yes,1,yes
125,Is there are single person in the image? a) yes b)no,a),"Yes, there is a single person in the image.",1,yes
126,Is there are single person in the image? a) yes b)no,b),"Yes, there is a single person in the image.",0,no
127,Is the stem of the flower visible? a) yes b)no,b),"Yes, the stem of the flower is visible in the image.",0,no
128,Is the stem of the flower visible? a) yes b)no,a),"Yes, the stem of the flower is visible in the image.",1,yes
129,Is the text 'SCHOOL BUS' completely visible? a) yes b)no,a),"Yes, the text 'SCHOOL BUS' is completely visible in the image.",1,yes
