Index,Question,Correct Answer,Response
1,Are the butterfly wings opened or closed in the given image? a) Opened and b) Closed,a),The butterfly wings are opened in the given image.
2,Are the butterfly wings opened or closed in the given image? a) Opened and b) Closed,b),The butterfly wings are opened in the given image.
3,Is the flame 'thicker and shorter' or 'thinner and longer'? a) 'Thicker and Shorter' b) 'Thinner and longer',a),The flame is thinner and longer.
4,Is the flame 'thicker and shorter' or 'thinner and longer'? a) 'Thicker and Shorter' b) 'Thinner and longer',b),"The flame is described as 'thinner and longer,' which means it is not thick and short, but rather thin and extending for a longer distance"
5,Is the dog looking towards left or right? a) left b) right,a),The dog is looking to the right.
6,Is the dog looking towards left or right? a) left b) right,b),The dog is looking to the right.
7,Is this the front view of the bus or the back view of the bus? a)front b)back,a),This is the front view of the bus.
8,Is this the front view of the bus or the back view of the bus? a)front b)back,b),The image shows the back view of the school bus.
9,Is this the front view of the keybaord or the sideview of the keyboard? a)front b)side,a),This is a side view of the keyboard.
10,Is this the front view of the keybaord or the sideview of the keyboard? a)front b)side,b),This is a front view of the keyboard.
11,Is the peacock's neck bent or straight? a)straight b)bent,a),The peacock's neck is bent.
12,Is the peacock's neck bent or straight? a)straight b)bent,b),The peacock's neck is bent.
13,Is it a zoomed in view of the corn or a zoomed out view? a) zoomed in b)zoomed out,a),The image is a zoomed-in view of the corn.
14,Is it a zoomed in view of the corn or a zoomed out view? a) zoomed in b)zoomed out,b),The image is a zoomed-in view of the corn.
15,Is the center of the flower in shade or in sunlight? a)shade b)sunlight,a),The center of the flower is in sunlight.
16,Is the center of the flower in shade or in sunlight? a)shade b)sunlight,b),The center of the flower is in sunlight.
17,Is the bus facing towards left or right? a)left b)right,a),The bus is facing towards the right.
18,Is the bus facing towards left or right? a)left b)right,b),The bus is facing towards the right.
19,Is the shark facing towards left or right? a)left b)right,a),The shark is facing towards the right.
20,Is the shark facing towards left or right? a)left b)right,b),The shark is facing towards the right.
21,Are the duck's feet visible or not? a)yes b)no,b),"Yes, the duck's feet are visible in the image."
22,Are the duck's feet visible or not? a)yes b)no,a),"Yes, the duck's feet are visible in the image."
23,Is the snake looking towards the camera or sideways? a)towards the camera b)sideways,a),The snake is looking sideways at the camera.
24,Is the snake looking towards the camera or sideways? a)towards the camera b)sideways,b),The snake is looking sideways at the camera.
25,Is the hen's neck white or reddish? a)white b)reddish,a),The hen's neck is reddish.
26,Is the hen's neck white or reddish? a)white b)reddish,b),The hen's neck is reddish.
27,Is the face of the peacock visible? a) Yes b) No,a),"Yes, the face of the peacock is visible in the image."
28,Is the face of the peacock visible? a) Yes b) No,b),No
29,Is there a stop sign on the bus? a)yes b) No,a),"Yes, there is a stop sign on the bus."
30,Is there a stop sign on the bus? a)yes b) No,b),"No, there is no stop sign on the bus."
31,Is the flag upright or tilted? a) Upright b)tilted,a),The flag is tilted.
32,Is the flag upright or tilted? a) Upright b)tilted,b),The flag is tilted.
33,Is this the top view of the butterfly or the side view? a) top b) Side,a),This is a side view of the butterfly.
34,Is this the top view of the butterfly or the side view? a) top b) Side,b),This is a side view of the butterfly.
35,Are the cucumbers dark green or light green? a)Dark green b)Light green,a),The cucumbers are dark green.
36,Are the cucumbers dark green or light green? a)Dark green b)Light green,b),The cucumbers are dark green.
37,Are the white flowers behind the butterfly visible or no? a)yes b)no,b),"Yes, the white flowers behind the butterfly are visible in the image."
38,Are the white flowers behind the butterfly visible or no? a)yes b)no,a),"Yes, the white flowers behind the butterfly are visible in the image."
39,Is the duck in the pond or on dryland? a) pond b) dryland,a),The duck is in the pond.
40,Is the duck in the pond or on dryland? a) pond b) dryland,b),The duck is standing on a rock in the pond.
41,Are the spider's legs orange? a)yes b)no,b),"Yes, the spider's legs are orange."
42,Are the spider's legs orange? a)yes b)no,a),"Yes, the spider's legs are orange."
43,How many buses are there in the image? a) one b) many,b),"There are many buses in the image, lined up in a row."
44,How many buses are there in the image? a) one b) many,a),There is only one bus in the image.
45,Is this the bottom or top view of the shark? a) Bottom b) Top,a),This is a top view of the shark.
46,Is this the bottom or top view of the shark? a) Bottom b) Top,b),This is a bottom view of the shark.
47,How many circular patterns are there on the wings of the butterfly? a)5 b)6,a),There are six circular patterns on the wings of the butterfly.
48,How many circular patterns are there on the wings of the butterfly? a)5 b)6,b),There are six circular patterns on the wings of the butterfly.
49,Is this the side view of the keyboard or the front view? a)side b)front,a),This is the side view of the keyboard.
50,Is this the side view of the keyboard or the front view? a)side b)front,b),This is the side view of the keyboard.
51,Is the elephant facing towards right or left? a)right b)Left,a),The elephant is facing towards the right.
52,Is the elephant facing towards right or left? a)right b)Left,b),The elephant is facing towards the left.
53,Are there colored medicine tablets in the picture or just white? a)multi-colored b)just white,b),The image shows a white pill bottle with white pills inside. There are no colored medicine tablets in the picture.
54,Are there colored medicine tablets in the picture or just white? a)multi-colored b)just white,a),"The picture shows a variety of colored medicine tablets, including red, yellow, blue, and green."
55,Are the bannanas covering the whole image frame? a) yes b) no,b),"No, the bananas are not covering the whole image frame. They are positioned in the lower half of the image, with the top half being"
56,Are the bannanas covering the whole image frame? a) yes b) no,a),"No, the bannanas are not covering the whole image frame. There is a gap between the bannanas and the edges of the image."
57,Is the allegator in water or on land? a)water b)land,a),The alligator is in the water.
58,Is the allegator in water or on land? a)water b)land,b),The alligator is in the water.
59,Are there any chains on the lock? a)yes b)no,b),"Yes, there are chains on the lock."
60,Are there any chains on the lock? a)yes b)no,a),"Yes, there are chains on the lock."
61,Is the letter 'J' visible on the keyboard? a)yes b)no,a),"Yes, the letter 'J' is visible on the keyboard."
62,Is the letter 'J' visible on the keyboard? a)yes b)no,b),"No, the letter 'J' is not visible on the keyboard."
63,Is the background behind flowers mostly green? a)yes b)no,b),"Yes, the background behind the flowers is mostly green."
64,Is the background behind flowers mostly green? a)yes b)no,a),"Yes, the background behind the flowers is mostly green."
65,Are the keys black or white? a)black b)white,b),The keys are white.
66,Are the keys black or white? a)black b)white,a),The keys are black.
67,Are there any clouds in the sky? a)yes b)no,a),"Yes, there are clouds in the sky."
68,Are there any clouds in the sky? a)yes b)no,b),No
69,Is the snake facing towards left or right? a) right b) left,b),The snake is facing towards the left.
70,Is the snake facing towards left or right? a) right b) left,a),The snake is facing towards the left.
71,Is the lock closed or open? a) closed b)open,a),The lock is closed.
72,Is the lock closed or open? a) closed b)open,b),"The lock is closed, as it is attached to a blue wall with a chain."
73,Is this a top view of the cycle? a) yes b)no,a),"Yes, this is a top view of the cycle."
